	TARGET-30-PAITCI-01	TARGET-30-PAITEG-01	TARGET-30-PAIVHE-01	TARGET-30-PALBFW-01	TARGET-30-PALCBW-01	TARGET-30-PALETP-01	TARGET-30-PALIIN-01	TARGET-30-PALNVP-01	TARGET-30-PALTEG-01	TARGET-30-PALUYS-01	TARGET-30-PALWVJ-01	TARGET-30-PALXTB-01	TARGET-30-PAMYCE-01	TARGET-30-PANBJH-01	TARGET-30-PANBSP-01	TARGET-30-PANKFE-01	TARGET-30-PANNMS-01	TARGET-30-PANRHJ-01	TARGET-30-PANRRW-01	TARGET-30-PANRVJ-01	TARGET-30-PANUIF-01	TARGET-30-PANWRR-01	TARGET-30-PANYGR-01	TARGET-30-PANZPV-01	TARGET-30-PANZVU-01	TARGET-30-PAPBGH-01	TARGET-30-PAPBZI-01	TARGET-30-PAPEAV-01	TARGET-30-PAPHPE-01	TARGET-30-PAPKXS-01	TARGET-30-PAPLSD-01	TARGET-30-PAPUAR-01	TARGET-30-PAPUEB-01	TARGET-30-PAPUWY-01	TARGET-30-PAPVFD-01	TARGET-30-PAPVXS-01	TARGET-30-PARACS-01	TARGET-30-PARBGP-01	TARGET-30-PARDIW-01	TARGET-30-PARFWB-01	TARGET-30-PARGKK-01	TARGET-30-PARHAM-01	TARGET-30-PARHAM-02	TARGET-30-PARKGJ-01	TARGET-30-PARSBI-01	TARGET-30-PARYNK-01	TARGET-30-PARZIP-01	TARGET-30-PASFGG-01	TARGET-30-PASMNT-01	TARGET-30-PASNEF-01	TARGET-30-PASPER-01	TARGET-30-PASRFS-01	TARGET-30-PASSRS-01	TARGET-30-PASTCN-01	TARGET-30-PASTKC-01	TARGET-30-PASUCB-01	TARGET-30-PASUYG-01	TARGET-30-PASWIJ-01	TARGET-30-PASXHE-01	TARGET-30-PASXRJ-01	TARGET-30-PASYPX-01	TARGET-30-PATCFL-01	TARGET-30-PATDXC-01	TARGET-30-PATFCY-01	TARGET-30-PATGLU-01	TARGET-30-PATHVK-01	TARGET-30-PATINJ-01	TARGET-30-PATNKP-02	TARGET-30-PATYIL-01	TARGET-30-PATYIL-02
ERBB3	0.11116745	1.6276582	2.5993228	0.7908371	6.906267	2.2479775	0.82382965	1.2570579	0.9709230999999999	1.6461880000000002	0.887589	0.31045547	3.2342303	0.82382965	0.22663648	6.426061	0.6323526999999999	2.3103974	3.7886617	5.6037493	0.28699607	1.9411447	0.77407175	4.193795	1.4330235	0.9184638	0.44372052	0.124459624	1.1441122	3.1634705000000003	0.6871335	1.3334688000000001	0.4751773	0.6323526999999999	0.7571259	0.6781482	1.1177393	1.1891136999999998	0.9486982	0.40063623	0.042784035	0.3674849	0.65087	1.1044103	0.7312613	0.80744386	2.2600729999999998	1.8991928	1.7442220000000002	0.40063623	0.78250456	0.6960961999999999	0.33353373	1.2570579	4.154592	2.5704846000000003	0.54605496	1.3674041000000001	1.4854795	0.59464574	0.50599486	1.0909218	0.7312613	1.4436299	0.80744386	0.7908371	2.003606	1.4751447	1.049722	2.5825560000000003
TPX2	4.5576425	0.9486982	4.735546	1.5410503999999998	1.9184216	4.631074400000001	5.3603225	2.1922037999999997	4.721881400000001	5.689896	5.297523	2.0250578000000004	4.549696	5.047846	5.2931376	0.6781482	5.651955	5.026806400000001	3.4931483	2.5160465	3.2126189999999997	4.5235705	6.003346400000001	3.2839379999999996	4.798064	5.6094303	4.963455000000001	5.5169277	1.0427017	5.187409	4.5373483	5.361396	5.5291559999999995	5.4422383000000005	5.346957	5.454550299999999	4.5981727	5.012171299999999	5.1155862999999995	6.168480000000001	1.9928074	4.1811300000000005	1.049722	5.039603	4.7463274	5.912923999999999	4.647297	5.3473473	5.6887197	5.085780000000001	3.786621	4.091717	6.22125	5.4032683	4.065278500000001	5.862489	6.4873557	4.677553700000001	5.353688	3.3117886	6.318276999999999	3.6484803999999995	4.857497	5.6530337	5.771629	5.1683497	5.502354599999999	6.1218476	4.658243700000001	5.4551362999999995
DIRAS1	3.7761421000000004	2.1408155	1.3562181	0.25107563	4.0857863	0.48553726	5.470578700000001	4.2831980000000005	3.4046612	5.0170164	0.6781482	4.0823984	4.05052	0.15068647	4.678611	2.548476	0.73994064	4.275799	1.6736089	0.7571259	3.7026825	3.5619237	0.43305513	1.2750628000000002	0.6871335	4.946229	0.042784035	4.326303	4.5759377	5.0687013	0.097748086	3.1683583	0.7049559	0.9782476000000001	0.097748086	0.6781482	0.31045547	0.15068647	0.11116745	3.500805	0.3786144	4.114415	3.5260816	0.9184638	0.3674849	0.11116745	3.2265458	0.5754108	0.07052474	0.097748086	4.453533599999999	1.2750628000000002	4.676977	4.196159	1.0976788999999998	5.1787540000000005	4.587341	0.23891501	0.22663648	0.3786144	1.2327062	0.15068647	0.22663648	4.5317025	0.22663648	0.07052474	0.2751237	0.20175661	4.758653	4.5601325
TCL1A	0.4751773	0.50599486	2.2203312000000004	0.8480885	1.2869579	3.1810763	5.1201514999999995	0.05672351	3.3743550000000004	1.0144353000000002	0.20175661	0.18916444	0.6691063	0.097748086	0.08420307	0.2751237	3.5813422	0.45428359999999995	1.718147	0.5161281	0.2751237	0.15068647	0.11116745	0.16362981	3.4155335	0.2987822	1.5656528	0.4751773	0.07052474	2.1177437	0.49579449999999997	5.0917010000000005	6.3008986	3.215653	4.0746837	0.22663648	1.3334688000000001	4.2831980000000005	5.3121443	2.201667	0.042784035	0.028709901	0.43305513	0.097748086	3.40602	0.887589	3.9344930000000002	4.399849	0.20175661	3.9164622000000002	1.618267	6.268815	0.05672351	2.848016	0.33353373	0.11116745	0.11116745	3.418162	1.0000511	6.393152	4.623493	0.5656918000000001	5.102283	1.0976788999999998	0.71378523	0.097748086	0.9561472	0.124459624	0.124459624	0.07052474
SLC11A1	1.718147	6.9974256	4.1755557	1.0357134	3.5981236000000005	0.5754108	1.1506448999999999	0.6600121	1.0215281999999999	1.1764042	2.4905915000000003	1.1243893999999999	0.55591464	0.77407175	1.5361298	4.259302	0.32205167	1.4957263	1.2388668999999999	2.4982425999999998	3.5534127	1.2987429	1.1375494	0.76562524	2.2234745	0.71378523	0.3786144	2.0669782	0.8156711	0.6600121	2.720295	0.3786144	1.3729870000000002	1.1177393	0.5361526	1.7866592000000001	2.032156	1.0215281999999999	1.3449053999999998	1.7824702000000001	1.2141696000000002	0.9108029000000001	0.44372052	6.6033015	4.878261599999999	0.5754108	0.33353373	1.3674041000000001	2.2868881	1.1570913999999999	1.182776	0.9184638	0.6781482	1.0841396	1.7225369	0.9184638	0.41153392	0.58506453	0.5656918000000001	1.929841	1.4699608999999998	1.0286552	2.3701974999999997	0.48553726	1.3104153	2.1440650000000003	0.6323526999999999	0.45428359999999995	1.3277426	0.15068647
CKS2	7.141644500000001	4.8821254000000005	5.838217	3.090849	3.6380839999999997	7.100739999999999	6.7898855	5.483776	6.154577	6.790381	6.830520599999999	4.1243114	5.5951304	6.3896937000000005	7.536484700000001	3.9990837999999997	6.641708400000001	7.084161999999999	4.544718	4.05052	5.4857309999999995	6.231511599999999	7.2424507	6.0641055	6.152407599999999	7.315278999999999	6.281549	7.410199	2.9164824	5.834679599999999	6.4955635	6.3788257	6.753323	6.671015	5.664796	6.513761	5.8427367	5.7747703	6.163549400000001	7.0459495	3.6426833	5.8780193	3.266092	6.941971000000001	6.390780400000001	6.3544245	5.803246499999999	6.478654	6.999013000000001	6.9942503	6.0695239999999995	5.209881	6.8989286	6.4783573	6.1472807000000005	7.523455599999999	7.071556	5.759162	6.274639	5.198887	7.2532787	5.762303	7.1503820000000005	6.716274	7.200135700000001	6.4262586	6.6393323	7.261524700000001	6.9613137	6.994647500000001
TGFB2	0.3786144	2.003606	2.7462974	0.65087	2.1731734	0.54605496	0.58506453	1.4699608999999998	0.5754108	0.87191325	2.1985368999999997	1.2510145000000001	2.0356338	0.9782476000000001	0.42232955	1.9855485000000002	0.72254187	0.6960961999999999	1.3104153	3.1489089	0.94119436	1.3562181	0.64164835	1.8953143	1.929841	2.6252575	1.5993719	0.16362981	0.6960961999999999	0.6041816	0.42232955	1.2690823999999998	0.7312613	0.5161281	1.6276582	0.87191325	1.0000511	0.9108029000000001	0.6136315999999999	0.6960961999999999	0.9336372	1.2631196000000002	1.5059485000000001	2.58014	0.6600121	0.73994064	0.6691063	1.2449315	0.8560810999999999	0.26316009999999995	2.9030432999999998	1.2265648999999998	0.90309465	0.64164835	2.7398314	3.6836736000000005	0.73994064	1.3104153	0.8156711	0.71378523	0.35624728	0.6781482	0.80744386	1.2570579	0.8480885	0.59464574	0.7485361999999999	1.5110093	1.6915852999999998	1.5160798999999998
DKK1	0.25107563	3.5595436	0.71378523	0.124459624	0.8480885	0.11116745	2.7845142000000003	1.2510145000000001	0.65087	0.0	1.8237927	1.4906301000000002	0.52618414	0.3786144	2.8439693	1.0072758	0.124459624	3.9791239999999997	0.41153392	1.9184216	3.2750566	3.6135447	0.16362981	0.21424463	0.76562524	0.8480885	1.6229928	2.5235612	0.11116745	1.5059485000000001	0.43305513	0.40063623	0.44372052	0.124459624	0.33353373	0.54605496	1.3334688000000001	0.49579449999999997	0.6600121	0.48553726	0.15068647	3.2047698	1.4906301000000002	3.291299	0.3786144	0.014497611	3.5298263999999997	0.6600121	0.26316009999999995	0.15068647	3.1922045	1.1570913999999999	0.6600121	0.59464574	0.17644595	0.90309465	0.9260758	0.52618414	0.08420307	0.94119436	0.25107563	0.028709901	0.5754108	1.8278862	0.11116745	1.9184216	0.014497611	1.4276745000000002	0.08420307	0.18916444
CDK1	3.2295833	1.2869579	5.1803093	2.1635296000000004	1.9145979	4.3247824	6.4025397	3.471203	4.632322	4.5077915	4.9188540000000005	1.5410503999999998	5.3269634	6.0170307	5.9097767	1.2016847	5.875758	5.143662	3.9781873	2.2079334	3.1209915	5.032526	5.4640303	3.003641	5.9143004	5.6299057	4.071297	5.570456	0.7049559	5.927676	4.795461	5.709021	5.9936996	6.163944	5.481918299999999	5.2972307	4.758653	5.5894504000000005	4.7398777	6.2041835999999995	2.1177437	4.7098565	0.89538705	3.9754715	4.5428996	5.9134154	5.719714	5.705196	5.305223000000001	5.1497839999999995	4.3391333	4.5404105	6.2534184	5.989861	5.1263676	6.8127785	5.8582635000000005	4.7991247	6.223618	3.7980342000000005	6.9286804	4.411474	5.6630316	5.577701	6.370823000000001	5.421236	5.527004	7.11861	5.260403599999999	6.0391865
ADRB2	0.097748086	1.2631196000000002	1.4854795	3.0738254	1.4168863999999999	0.76562524	0.7571259	0.07052474	0.46478304	1.3896316999999998	0.45428359999999995	1.7824702000000001	0.9855609000000001	2.1342453999999997	2.0108203999999996	1.3277426	1.4168863999999999	0.2751237	3.3659537000000004	1.1954168	1.0841396	0.05672351	1.4854795	1.3104153	0.59464574	0.15068647	0.2751237	0.3674849	0.8400183000000001	0.17644595	0.8400183000000001	1.3277426	0.9635396999999999	1.9184216	1.0072758	0.9486982	1.9709185000000002	4.1945515	1.7570888	1.3334688000000001	2.8972402	0.21424463	0.21424463	0.8797943000000001	0.50599486	0.31045547	0.7312613	1.0566703000000002	0.44372052	1.3104153	2.9392428	1.5509181	1.2987429	1.1177393	0.64164835	0.23891501	0.028709901	1.3219714	0.83196074	4.0356774	0.52618414	0.4751773	1.1044103	1.8032506000000001	1.1570913999999999	0.46478304	3.4316761	1.883629	0.54605496	0.65087
