	TARGET-30-PAITCI-01	TARGET-30-PAITEG-01	TARGET-30-PAIVHE-01	TARGET-30-PALBFW-01	TARGET-30-PALCBW-01	TARGET-30-PALETP-01	TARGET-30-PALIIN-01	TARGET-30-PALNVP-01	TARGET-30-PALTEG-01	TARGET-30-PALUYS-01	TARGET-30-PALWVJ-01	TARGET-30-PALXTB-01	TARGET-30-PAMYCE-01	TARGET-30-PANBJH-01	TARGET-30-PANBSP-01	TARGET-30-PANKFE-01	TARGET-30-PANNMS-01	TARGET-30-PANRHJ-01	TARGET-30-PANRRW-01	TARGET-30-PANRVJ-01	TARGET-30-PANUIF-01	TARGET-30-PANWRR-01	TARGET-30-PANYGR-01	TARGET-30-PANZPV-01	TARGET-30-PANZVU-01	TARGET-30-PAPBGH-01	TARGET-30-PAPBZI-01	TARGET-30-PAPEAV-01	TARGET-30-PAPHPE-01	TARGET-30-PAPKXS-01	TARGET-30-PAPLSD-01	TARGET-30-PAPUAR-01	TARGET-30-PAPUEB-01	TARGET-30-PAPUWY-01	TARGET-30-PAPVFD-01	TARGET-30-PAPVXS-01	TARGET-30-PARACS-01	TARGET-30-PARBGP-01	TARGET-30-PARDIW-01	TARGET-30-PARFWB-01	TARGET-30-PARGKK-01	TARGET-30-PARHAM-01	TARGET-30-PARHAM-02	TARGET-30-PARKGJ-01	TARGET-30-PARSBI-01	TARGET-30-PARYNK-01	TARGET-30-PARZIP-01	TARGET-30-PASFGG-01	TARGET-30-PASMNT-01	TARGET-30-PASNEF-01	TARGET-30-PASPER-01	TARGET-30-PASRFS-01	TARGET-30-PASSRS-01	TARGET-30-PASTCN-01	TARGET-30-PASTKC-01	TARGET-30-PASUCB-01	TARGET-30-PASUYG-01	TARGET-30-PASWIJ-01	TARGET-30-PASXHE-01	TARGET-30-PASXRJ-01	TARGET-30-PASYPX-01	TARGET-30-PATCFL-01	TARGET-30-PATDXC-01	TARGET-30-PATFCY-01	TARGET-30-PATGLU-01	TARGET-30-PATHVK-01	TARGET-30-PATINJ-01	TARGET-30-PATNKP-02	TARGET-30-PATYIL-01	TARGET-30-PATYIL-02
IRF6	1.5558652	0.6041816	0.54605496	1.4115105	2.4541852000000004	0.5161281	0.78250456	1.3277426	0.2751237	0.17644595	0.13763218	0.9855609000000001	0.31045547	0.08420307	1.9671944	1.6229928	0.20175661	0.7571259	1.9671944	3.0053918	1.3277426	1.0144353000000002	0.097748086	3.5557915999999996	4.189069	3.7602034	0.6960961999999999	1.7005076000000001	2.5704846000000003	0.41153392	0.16362981	0.28699607	0.23891501	0.16362981	0.25107563	0.3786144	2.650778	1.7225369	0.3674849	0.22663648	2.4114816	4.039998000000001	4.053151000000001	0.48553726	0.87191325	0.41153392	0.64164835	0.097748086	1.5898027	0.38968015	3.2509565	1.2631196000000002	1.6826189999999999	0.16362981	0.9336372	1.6599708999999998	1.0072758	0.17644595	0.49579449999999997	0.62302387	0.15068647	0.87191325	0.77407175	1.7907819999999999	0.50599486	0.31045547	0.13763218	3.9241211000000003	2.8972402	2.1954083
CDK1	3.2295833	1.2869579	5.1803093	2.1635296000000004	1.9145979	4.3247824	6.4025397	3.471203	4.632322	4.5077915	4.9188540000000005	1.5410503999999998	5.3269634	6.0170307	5.9097767	1.2016847	5.875758	5.143662	3.9781873	2.2079334	3.1209915	5.032526	5.4640303	3.003641	5.9143004	5.6299057	4.071297	5.570456	0.7049559	5.927676	4.795461	5.709021	5.9936996	6.163944	5.481918299999999	5.2972307	4.758653	5.5894504000000005	4.7398777	6.2041835999999995	2.1177437	4.7098565	0.89538705	3.9754715	4.5428996	5.9134154	5.719714	5.705196	5.305223000000001	5.1497839999999995	4.3391333	4.5404105	6.2534184	5.989861	5.1263676	6.8127785	5.8582635000000005	4.7991247	6.223618	3.7980342000000005	6.9286804	4.411474	5.6630316	5.577701	6.370823000000001	5.421236	5.527004	7.11861	5.260403599999999	6.0391865
F2RL1	0.48553726	2.1985368999999997	4.2615767	0.71378523	0.5656918000000001	1.0704504	0.49579449999999997	0.2751237	0.6871335	1.0215281999999999	1.9561163000000001	0.82382965	2.381341	0.25107563	0.46478304	1.1243893999999999	0.6600121	0.6691063	0.31045547	2.2570662	1.33921	1.33921	0.9782476000000001	1.2810018	2.2141287	0.80744386	0.6600121	0.6041816	0.6136315999999999	0.50599486	0.64164835	1.3045712	0.73994064	0.23891501	0.77407175	0.2987822	0.41153392	0.73994064	0.6781482	0.8640384	0.5656918000000001	2.226541	1.6276582	1.5849965	1.4542183000000002	0.9635396999999999	0.72254187	0.9486982	0.08420307	0.22663648	0.52618414	0.7312613	1.2449315	0.7991509	2.618221	1.0215281999999999	0.6323526999999999	1.9486238	0.77407175	0.49579449999999997	1.3618348	1.7137631000000002	0.8797943000000001	0.90309465	0.58506453	1.5753416	0.71378523	0.3786144	0.7312613	1.0357134
SOX17	1.618267	4.0391525999999995	3.4141739999999996	3.7856007000000007	2.8679327999999997	0.99286234	1.0000511	1.2928126	1.6960089	1.0072758	2.250979	2.0669782	2.0286055	1.4957263	1.1506448999999999	3.5521321000000006	1.8399782	1.8953143	2.493141	3.31035	3.6893002999999998	0.9561472	1.4060217	1.7740363000000001	1.7949808	1.7740363000000001	0.9561472	0.6871335	0.7991509	0.45428359999999995	1.5110093	1.182776	0.8560810999999999	3.0215151000000002	0.6781482	3.111082	1.9818863000000002	1.5059485000000001	1.7268628000000001	0.59464574	2.2448986	0.8156711	0.48553726	4.2629985999999995	2.1954083	0.54605496	0.89538705	1.7355311999999998	0.8640384	0.6323526999999999	1.2690823999999998	0.9108029000000001	1.7907819999999999	1.2449315	1.6870991000000002	1.1635615	0.52618414	1.8237927	1.3562181	1.1954168	0.9336372	0.887589	2.1473167	2.0807064	3.0250237	1.6041348	1.2928126	0.8400183000000001	0.55591464	1.3162155
CES1	0.9486982	6.286288	2.0772705	0.22663648	2.8619790000000003	3.0959697	0.20175661	0.58506453	1.3951445	0.25107563	3.9069392999999994	0.33353373	0.33353373	0.124459624	0.097748086	0.3786144	0.22663648	2.5582678	0.11116745	1.1177393	2.2779882000000002	0.35624728	0.50599486	1.5210948	1.4115105	1.1764042	0.45428359999999995	1.1954168	0.22663648	0.64164835	2.833903	0.62302387	0.8156711	1.5558652	1.0704504	0.35624728	0.42232955	0.20175661	1.1111153	0.8797943000000001	0.9635396999999999	0.8797943000000001	0.7991509	4.299425	1.2327062	0.38968015	0.49579449999999997	0.90309465	0.46478304	0.94119436	1.3951445	0.64164835	0.0	0.42232955	1.0704504	2.7887046000000004	0.22663648	1.7093155	0.15068647	0.9108029000000001	1.5310872	0.8560810999999999	3.0232692	0.15068647	1.1111153	2.2570662	0.9486982	0.23891501	0.20175661	0.9782476000000001
MET	2.8639631000000003	1.9486238	1.049722	1.33921	3.266092	0.5656918000000001	3.3575578	0.72254187	1.2016847	2.4803216	0.64164835	0.6136315999999999	1.618267	1.526119	2.650778	2.906943	1.5849965	1.2265648999999998	1.3562181	4.3547277	0.48553726	3.4208817000000002	0.6600121	0.46478304	3.0925262000000004	0.8560810999999999	2.55586	2.7355804	0.35624728	3.4568336000000004	0.7485361999999999	0.9635396999999999	0.77407175	3.3248365	0.6960961999999999	0.6960961999999999	1.3277426	2.3334424	0.71378523	0.43305513	0.52618414	0.41153392	1.0704504	2.980032	2.0179709999999997	1.5656528	4.055689	1.1177393	4.7070675	0.83196074	2.7092732999999996	0.59464574	3.2898623999999996	0.5656918000000001	0.64164835	1.3505546	0.08420307	1.0215281999999999	3.7388193999999997	1.2928126	4.1260085	2.5059025000000004	0.9855609000000001	0.54605496	0.7485361999999999	0.41153392	0.73994064	3.0617577999999996	1.9561163000000001	2.636916
PERP	0.11116745	1.4489502	1.618267	0.94119436	2.4803216	3.1586738	1.1891136999999998	0.6600121	1.0976788999999998	0.21424463	0.40063623	0.25107563	0.8400183000000001	0.16362981	3.473842	1.3896316999999998	1.1044103	1.1375494	0.33353373	0.3674849	0.13763218	2.8499972999999996	0.35624728	0.5361526	1.8156192	3.9909291	0.5361526	0.05672351	0.21424463	0.41153392	1.3219714	2.9837008	1.1375494	0.64164835	0.43305513	0.32205167	0.45428359999999995	2.0908759999999997	3.6052816	0.49579449999999997	0.54605496	0.07052474	0.32205167	0.887589	0.5361526	0.31045547	0.21424463	1.7991133000000001	0.05672351	0.6041816	1.1764042	0.6960961999999999	0.16362981	0.55591464	1.2510145000000001	4.554579	5.7988267	1.5410503999999998	0.44372052	1.8719058999999998	1.5310872	0.35624728	1.1243893999999999	4.021502	1.0215281999999999	4.3117684999999994	1.3896316999999998	0.014497611	5.583184200000001	5.661953400000001
COL23A1	0.13763218	0.62302387	1.3729870000000002	1.1954168	1.1310111	0.41153392	1.1375494	0.26316009999999995	0.9260758	0.3674849	0.26316009999999995	0.41153392	0.90309465	0.124459624	0.05672351	1.2449315	0.6960961999999999	0.80744386	0.9336372	1.2079737	2.899232	1.5898027	0.43305513	1.1375494	0.9108029000000001	0.6136315999999999	0.58506453	0.38968015	0.83196074	1.2750628000000002	1.3449053999999998	0.7049559	0.887589	1.33921	0.5754108	0.42232955	0.7571259	1.1177393	2.493141	1.608838	2.577725	0.2987822	0.18916444	0.94119436	1.8639895	0.3786144	0.48553726	1.0072758	0.44372052	0.32205167	0.6781482	0.9709230999999999	2.7655543999999996	0.6960961999999999	0.7312613	2.0704064	0.3674849	1.3896316999999998	0.58506453	2.361813	0.9855609000000001	0.7485361999999999	3.9078730000000004	0.9782476000000001	0.33353373	0.76562524	0.9561472	0.5161281	5.087916000000001	0.71378523
KRT9	0.028709901	2.275051	0.44372052	1.4330235	1.3277426	0.15068647	0.25107563	0.07052474	0.22663648	1.3162155	0.18916444	2.7026677	0.0	3.3262769999999997	0.0	1.8480612	1.8679093	0.34494959999999997	0.44372052	0.2987822	0.16362981	0.0	0.0	5.8282943	0.18916444	0.0	0.0	0.097748086	4.6819744000000005	0.097748086	0.05672351	0.58506453	3.4944242999999995	0.08420307	0.16362981	2.4620397	2.6040845	0.2987822	0.89538705	1.7907819999999999	3.6982512	0.90309465	2.5210828999999997	0.82382965	0.042784035	3.0053918	0.05672351	0.34494959999999997	0.64164835	2.6040845	0.22663648	2.7377057000000002	0.25107563	0.89538705	0.15068647	1.2265648999999998	0.0	0.6781482	0.13763218	1.6599708999999998	1.2141696000000002	2.4060422999999997	0.08420307	0.11116745	1.4222745	0.18916444	2.121055	0.08420307	0.05672351	0.028709901
CLDN3	3.9316894999999996	0.16362981	0.124459624	3.7136728999999997	0.887589	2.3277528	0.55591464	0.78250456	0.17644595	3.9699470000000003	1.4222745	3.375711	3.0687146	0.0	1.7613178	0.58506453	0.042784035	0.26316009999999995	2.6276045	2.2691026	0.23891501	3.0789382	0.13763218	1.7093155	0.22663648	1.8600012	0.7049559	0.07052474	2.2839465	3.9864311000000003	0.028709901	0.26316009999999995	3.0874949000000003	0.46478304	0.32205167	3.8011904000000003	0.08420307	3.2295833	3.5236156000000003	2.1144347000000003	0.7571259	0.2751237	0.0	2.8237624	3.7398372	0.23891501	2.3950967999999997	1.2388668999999999	3.7740099999999996	0.50599486	0.6041816	2.7824624	3.8797028	2.2957224999999997	2.4436457000000003	3.8369648	3.3377168	0.99286234	0.7908371	0.6600121	0.6323526999999999	0.0	0.0	3.26905	1.4854795	3.288336	0.32205167	1.3219714	0.35624728	0.0
