	TARGET-30-PAITCI-01	TARGET-30-PAITEG-01	TARGET-30-PAIVHE-01	TARGET-30-PALBFW-01	TARGET-30-PALCBW-01	TARGET-30-PALETP-01	TARGET-30-PALIIN-01	TARGET-30-PALNVP-01	TARGET-30-PALTEG-01	TARGET-30-PALUYS-01	TARGET-30-PALWVJ-01	TARGET-30-PALXTB-01	TARGET-30-PAMYCE-01	TARGET-30-PANBJH-01	TARGET-30-PANBSP-01	TARGET-30-PANKFE-01	TARGET-30-PANNMS-01	TARGET-30-PANRHJ-01	TARGET-30-PANRRW-01	TARGET-30-PANRVJ-01	TARGET-30-PANUIF-01	TARGET-30-PANWRR-01	TARGET-30-PANYGR-01	TARGET-30-PANZPV-01	TARGET-30-PANZVU-01	TARGET-30-PAPBGH-01	TARGET-30-PAPBZI-01	TARGET-30-PAPEAV-01	TARGET-30-PAPHPE-01	TARGET-30-PAPKXS-01	TARGET-30-PAPLSD-01	TARGET-30-PAPUAR-01	TARGET-30-PAPUEB-01	TARGET-30-PAPUWY-01	TARGET-30-PAPVFD-01	TARGET-30-PAPVXS-01	TARGET-30-PARACS-01	TARGET-30-PARBGP-01	TARGET-30-PARDIW-01	TARGET-30-PARFWB-01	TARGET-30-PARGKK-01	TARGET-30-PARHAM-01	TARGET-30-PARHAM-02	TARGET-30-PARKGJ-01	TARGET-30-PARSBI-01	TARGET-30-PARYNK-01	TARGET-30-PARZIP-01	TARGET-30-PASFGG-01	TARGET-30-PASMNT-01	TARGET-30-PASNEF-01	TARGET-30-PASPER-01	TARGET-30-PASRFS-01	TARGET-30-PASSRS-01	TARGET-30-PASTCN-01	TARGET-30-PASTKC-01	TARGET-30-PASUCB-01	TARGET-30-PASUYG-01	TARGET-30-PASWIJ-01	TARGET-30-PASXHE-01	TARGET-30-PASXRJ-01	TARGET-30-PASYPX-01	TARGET-30-PATCFL-01	TARGET-30-PATDXC-01	TARGET-30-PATFCY-01	TARGET-30-PATGLU-01	TARGET-30-PATHVK-01	TARGET-30-PATINJ-01	TARGET-30-PATNKP-02	TARGET-30-PATYIL-01	TARGET-30-PATYIL-02
NUF2	3.5619237	0.44372052	5.140746599999999	1.7442220000000002	0.6691063	4.3117684999999994	5.675776	2.2419004	4.74575	4.2433834	5.2445307	1.6553924999999998	4.7098565	5.7210875	5.093837000000001	1.2327062	5.3359356	4.30816	3.4019443999999996	2.9279428	2.9392428	4.9150834	5.758376999999999	2.8217013	4.878261599999999	5.6430370000000005	3.9781873	5.317603599999999	1.0357134	5.3276463	4.606994599999999	5.217665	5.682051	5.8449965	5.501474	5.608549	4.5198402	5.2942095	4.812528599999999	6.1472807000000005	1.5656528	4.5856156	0.82382965	4.1227093	4.574692	5.4834830000000006	4.8768125	5.9634857000000006	5.4202595	5.301227	3.7750296999999997	4.5354342	6.331805999999999	5.7076483	4.6264677	6.170551000000001	6.809409	5.4760523	5.6438203	3.5223372000000004	6.355610400000001	4.2000356	5.971555	5.5441265	5.8313394	5.38716	5.560765	6.7750216	4.190581	5.0294237
RAB34	3.7430756	6.51475	5.3359356	4.0746837	7.0230255	3.752795	4.3448377	4.663910400000001	4.274282	4.3611016	4.5109468	3.7048984	4.016153299999999	3.2570443	5.58103	6.136732	3.2570443	5.0188584	3.8166067999999997	5.366371599999999	5.716673	3.1077220000000003	2.9690335	4.3547277	4.1739497000000005	4.8394455999999995	3.1424327	3.5471926	3.266092	3.0125740000000003	6.366278599999999	3.9542239	3.9542239	4.294964299999999	2.757028	3.9097397000000003	3.6792474000000004	3.1602726000000003	3.6792474000000004	3.0426714	3.4803050000000004	3.9448705000000004	3.4289541	6.0662727	4.500144000000001	3.1342769	2.7718697	5.7694693	3.0548935	3.8529690000000003	6.268123999999999	3.6633961000000004	6.6828975999999995	3.8369648	5.3822794	6.302281	3.1060423999999998	4.187462	3.3575578	4.146476	3.4019443999999996	6.405801	6.038005	3.6621989999999998	4.536678299999999	5.682542	4.0008655	6.413509400000001	2.6438859	3.1683583
NUSAP1	4.0686636	1.8639895	5.3722267	2.4060422999999997	1.6826189999999999	5.8220067	5.967619	3.1408367000000004	4.730638	6.825069	4.9063826	2.9107578	5.8850975	6.247892	5.834189	1.049722	6.3406954	6.5546155	4.7419953	3.1358721000000003	3.8629315	4.9231095	5.7678986	4.8439817000000005	5.6461725	6.2394050000000005	5.340227	5.6302	2.1243687	6.453837999999999	4.975944	5.9943886	6.3870263	6.6857695999999995	5.9523673	6.3812957	5.413814	6.1931353	5.85276	6.6553707	2.8699182999999997	5.1699057	1.4803389999999998	4.7739697	5.475759500000001	5.9975385999999995	5.534830599999999	5.967422	5.887260400000001	5.426315	4.793919	5.2346005	7.0658984	6.3314114	5.1627116	6.5055523	6.2248019999999995	4.8535385	6.535126	4.1317606	6.9396895999999995	4.716494	5.531406400000001	6.2926054	6.827151	6.30396	6.036527599999999	7.1913958	5.257385	6.1643386
MGARP	1.6508208999999998	4.687645400000001	0.76562524	2.4854136000000002	3.6859796	0.5754108	0.32205167	2.4141626	0.5361526	0.73994064	0.59464574	1.7613178	1.0635976	1.618267	0.38968015	1.9635481	0.5656918000000001	1.5110093	1.875834	1.4594975000000001	1.2203858	0.73994064	1.4751447	1.1506448999999999	0.9635396999999999	2.166716	0.34494959999999997	1.5558652	3.9020865	1.7866592000000001	0.8400183000000001	1.0144353000000002	0.90309465	1.2570579	1.3896316999999998	1.2987429	1.8359431	1.6645558999999996	1.1375494	1.2750628000000002	1.6870991000000002	1.3334688000000001	2.4828672000000003	1.0841396	1.7005076000000001	0.8480885	1.1177393	0.8797943000000001	1.2203858	0.7049559	3.0703888	0.8480885	1.5059485000000001	1.3449053999999998	3.8155847	1.049722	2.2600729999999998	0.9108029000000001	0.77407175	1.1375494	3.6949286	2.5728972000000003	1.9671944	1.6690792	0.90309465	2.8176662999999995	0.8560810999999999	3.4982522000000005	0.6871335	0.80744386
CDK1	3.2295833	1.2869579	5.1803093	2.1635296000000004	1.9145979	4.3247824	6.4025397	3.471203	4.632322	4.5077915	4.9188540000000005	1.5410503999999998	5.3269634	6.0170307	5.9097767	1.2016847	5.875758	5.143662	3.9781873	2.2079334	3.1209915	5.032526	5.4640303	3.003641	5.9143004	5.6299057	4.071297	5.570456	0.7049559	5.927676	4.795461	5.709021	5.9936996	6.163944	5.481918299999999	5.2972307	4.758653	5.5894504000000005	4.7398777	6.2041835999999995	2.1177437	4.7098565	0.89538705	3.9754715	4.5428996	5.9134154	5.719714	5.705196	5.305223000000001	5.1497839999999995	4.3391333	4.5404105	6.2534184	5.989861	5.1263676	6.8127785	5.8582635000000005	4.7991247	6.223618	3.7980342000000005	6.9286804	4.411474	5.6630316	5.577701	6.370823000000001	5.421236	5.527004	7.11861	5.260403599999999	6.0391865
PLK1	4.28908	1.7949808	4.698797	3.0652797	1.5607548	4.189069	5.523873	1.5460458000000001	4.488007	6.387817	4.799607	1.9635481	4.522901	5.588569000000001	4.7697306	1.8359431	4.791798	4.6707315000000005	3.7125642	3.111082	3.1683583	4.145721	5.7059809999999995	4.292781400000001	4.8384805	5.5746655	5.054441000000001	4.8885026	2.7398314	4.961616	4.788714	5.3441279999999995	5.242583799999999	5.2581635	5.1858525	5.2589426	4.517258	4.7739697	4.864449	5.6585225999999995	2.8679327999999997	4.2226467	0.8480885	4.7881355	4.234196	5.3312545	4.303792	5.3722267	5.3344727	5.2723846	3.6229150000000003	4.2433834	5.082771299999999	5.2075458	4.401182700000001	6.235754	5.427976	4.4215784000000005	5.533265	3.9690106	5.919316	3.9699470000000003	4.7042785	4.370141	5.5846524	5.029908	5.28544	4.886087	4.257785	4.945842
CENPF	4.3291535	0.32205167	4.775607599999999	2.5410169999999996	0.9486982	4.9387784	6.4378233	2.8114889	5.849517	5.9481373	5.959747	2.350545	4.643264299999999	6.4849825	5.520449	0.80744386	6.2909274	5.870844	3.9126341	2.548476	3.4501991000000003	4.9443903	6.8764205	3.3205156000000002	5.435302	7.1985470000000005	6.195897	6.019	0.6600121	5.967619	4.9895983	6.0119114	6.558078299999999	6.1233262999999996	5.8887353	5.503039	4.8996162000000005	5.505875	5.6707764	6.3833704000000004	2.3701974999999997	5.3233559999999995	1.0909218	4.482848000000001	5.123939	6.0175233	5.685091000000001	6.556595	5.451521	5.8175864	4.6524816	5.046584999999999	6.2890515	5.834679599999999	5.2835884	7.9285283	7.852151400000001	5.6693052999999995	5.739828	3.7516837	6.998219000000001	4.9141164	6.476083	6.264176	6.302675700000001	5.943710299999999	6.229044999999999	7.037613	5.7543526	6.1460977
TUBB4A	5.7447343	4.872369	6.656361	6.5787587	6.813274000000001	6.237037	6.1643386	4.482848000000001	5.432274	6.710826400000001	6.0056105	7.302956599999999	6.7657074999999995	6.292013	4.8419547	4.7597127	6.2035913	5.622068	7.3660635999999995	0.87191325	4.902999400000001	5.3150687	5.627358	6.8638287	0.22663648	5.8442110000000005	4.275799	4.684858	6.876916400000001	6.7081523	5.548726599999999	6.870570699999999	0.7908371	4.4847584000000005	6.328449	3.8328729	3.7192168	7.015384700000001	5.952761	5.675776	6.6644797	6.4055040000000005	6.324301	4.232681299999999	4.859524700000001	0.15068647	1.5704931	6.053073400000001	0.08420307	4.9795264999999995	5.4640303	6.819914999999999	0.16362981	5.4455605	6.6587369999999995	6.1195807	5.2303176	5.046584999999999	0.49579449999999997	5.636373000000001	5.8220067	5.041736599999999	0.21424463	4.3147125	0.48553726	2.5360487000000003	5.715103	0.07052474	6.209017299999999	6.382480999999999
DLGAP5	1.7311942999999999	0.31045547	2.2296095	0.58506453	0.38968015	2.9183917	3.7697464999999997	0.9184638	3.1667585	2.7970064	3.2418303	0.6960961999999999	2.5704846000000003	3.4515622	4.241867500000001	0.58506453	3.8176289	3.0959697	2.4141626	0.78250456	1.4647238	2.8319256	4.4816055	1.6915852999999998	3.7082229	4.3978486	2.961621	3.8298974	0.042784035	3.3420432	2.8258237999999998	3.7580730000000004	3.9049792	3.9854941	3.4436587999999997	3.5717216	3.6287968	3.1077220000000003	3.1408367000000004	3.9973025	0.9260758	2.6937842	0.26316009999999995	2.6893039	2.8135476	4.1293087	3.0959697	3.4957001000000005	3.4275932	3.5084655	2.3334424	2.3016197999999997	3.215653	3.8510141000000004	2.5728972000000003	3.2509565	3.4033029999999997	2.5898084999999997	3.512206	1.9855485000000002	4.8319182000000005	2.1342453999999997	3.4369402	2.9241211	3.9486112999999996	3.2675259999999997	3.9726622000000003	4.5704765	3.4515622	4.27504
OTOF	0.83196074	1.3618348	2.275051	1.3562181	2.8816669999999998	0.41153392	3.249435	1.989139	0.18916444	1.0286552	0.097748086	0.21424463	0.8156711	1.1177393	4.327728	1.5008324	0.5361526	4.4969897	1.5849965	0.5361526	1.7137631000000002	0.042784035	0.52618414	0.73994064	4.8384805	0.28699607	0.20175661	0.89538705	2.275051	1.9855485000000002	0.9486982	0.64164835	0.26316009999999995	2.0143566	1.2869579	1.0841396	3.5557915999999996	0.5656918000000001	0.6691063	1.1635615	0.9561472	5.3743739999999995	5.039991400000001	0.35624728	1.6041348	1.4168863999999999	2.4436457000000003	0.42232955	2.9183917	1.1891136999999998	4.6004744	1.1570913999999999	1.1243893999999999	2.6667721	0.52618414	0.097748086	0.014497611	0.55591464	0.9855609000000001	1.5607548	0.25107563	0.8640384	3.0321317000000003	1.5946169	2.3248699	1.0144353000000002	1.0841396	3.5397866000000002	4.7782089999999995	4.212616000000001
