	TARGET-30-PAITCI-01	TARGET-30-PAITEG-01	TARGET-30-PAIVHE-01	TARGET-30-PALBFW-01	TARGET-30-PALCBW-01	TARGET-30-PALETP-01	TARGET-30-PALIIN-01	TARGET-30-PALNVP-01	TARGET-30-PALTEG-01	TARGET-30-PALUYS-01	TARGET-30-PALWVJ-01	TARGET-30-PALXTB-01	TARGET-30-PAMYCE-01	TARGET-30-PANBJH-01	TARGET-30-PANBSP-01	TARGET-30-PANKFE-01	TARGET-30-PANNMS-01	TARGET-30-PANRHJ-01	TARGET-30-PANRRW-01	TARGET-30-PANRVJ-01	TARGET-30-PANUIF-01	TARGET-30-PANWRR-01	TARGET-30-PANYGR-01	TARGET-30-PANZPV-01	TARGET-30-PANZVU-01	TARGET-30-PAPBGH-01	TARGET-30-PAPBZI-01	TARGET-30-PAPEAV-01	TARGET-30-PAPHPE-01	TARGET-30-PAPKXS-01	TARGET-30-PAPLSD-01	TARGET-30-PAPUAR-01	TARGET-30-PAPUEB-01	TARGET-30-PAPUWY-01	TARGET-30-PAPVFD-01	TARGET-30-PAPVXS-01	TARGET-30-PARACS-01	TARGET-30-PARBGP-01	TARGET-30-PARDIW-01	TARGET-30-PARFWB-01	TARGET-30-PARGKK-01	TARGET-30-PARHAM-01	TARGET-30-PARHAM-02	TARGET-30-PARKGJ-01	TARGET-30-PARSBI-01	TARGET-30-PARYNK-01	TARGET-30-PARZIP-01	TARGET-30-PASFGG-01	TARGET-30-PASMNT-01	TARGET-30-PASNEF-01	TARGET-30-PASPER-01	TARGET-30-PASRFS-01	TARGET-30-PASSRS-01	TARGET-30-PASTCN-01	TARGET-30-PASTKC-01	TARGET-30-PASUCB-01	TARGET-30-PASUYG-01	TARGET-30-PASWIJ-01	TARGET-30-PASXHE-01	TARGET-30-PASXRJ-01	TARGET-30-PASYPX-01	TARGET-30-PATCFL-01	TARGET-30-PATDXC-01	TARGET-30-PATFCY-01	TARGET-30-PATGLU-01	TARGET-30-PATHVK-01	TARGET-30-PATINJ-01	TARGET-30-PATNKP-02	TARGET-30-PATYIL-01	TARGET-30-PATYIL-02
PTGS2	2.0807064	3.0635187999999998	4.0080857000000005	2.060053	0.6871335	0.11116745	0.7571259	0.5361526	0.99286234	0.5754108	3.1177167999999997	1.4489502	0.887589	0.35624728	0.028709901	1.7570888	0.9709230999999999	0.49579449999999997	1.3785836	3.9307550000000004	1.2928126	0.16362981	0.40063623	1.9745712	1.1891136999999998	0.44372052	0.2751237	0.25107563	0.80744386	0.46478304	0.8156711	1.1243893999999999	0.6960961999999999	1.2510145000000001	0.59464574	3.7071147000000004	2.2419004	0.32205167	0.8560810999999999	1.7527944	0.21424463	0.15068647	0.6136315999999999	4.898166000000001	2.0738373	0.46478304	0.73994064	0.59464574	0.40063623	0.08420307	0.21424463	0.38968015	0.41153392	0.26316009999999995	3.5260816	0.6323526999999999	0.42232955	1.1570913999999999	1.7949808	1.5801983	0.7312613	0.20175661	1.182776	0.13763218	1.8875689999999998	0.15068647	0.15068647	0.028709901	0.34494959999999997	0.07052474
IGHV4-4	0.0	0.52618414	0.0	0.0	2.8679327999999997	1.8359431	3.8104758000000003	0.6960961999999999	1.2016847	1.3618348	0.0	0.0	0.0	0.0	0.0	3.3533165	0.43305513	1.438321	0.83196074	0.0	0.20175661	0.2751237	0.0	0.0	2.1570847	0.0	0.0	1.0072758	0.0	0.5656918000000001	1.8719058999999998	2.250979	2.9579601	1.5410503999999998	0.0	0.7991509	0.80744386	2.687107	1.3785836	1.0773331	0.15068647	0.0	0.16362981	0.0	3.9606802000000005	3.5223372000000004	0.49579449999999997	2.8914404	1.6229928	0.0	1.9260064	5.197719	0.0	0.8640384	0.22663648	0.45428359999999995	0.0	0.0	1.1044103	4.003584399999999	4.3923239999999995	0.9336372	1.5410503999999998	0.0	1.9069613	0.0	0.0	0.17644595	0.0	0.0
EPHA8	0.20175661	0.54605496	1.3277426	3.6690164	0.99286234	0.65087	0.8400183000000001	2.3334424	0.097748086	1.5607548	0.34494959999999997	3.8104758000000003	1.4489502	0.64164835	0.54605496	1.9782271	0.21424463	0.05672351	3.9809036	5.597873	0.7908371	0.17644595	0.83196074	1.9524055	0.6600121	3.211013	0.18916444	0.54605496	3.5020814	0.65087	0.45428359999999995	0.20175661	0.21424463	1.3618348	1.3219714	0.5754108	0.52618414	2.5969849	3.218777	0.6323526999999999	4.996379	1.6229928	3.7474256	0.124459624	1.9449196	1.0144353000000002	0.18916444	0.8797943000000001	2.3757667999999996	0.6871335	1.2079737	0.5161281	0.78250456	0.4751773	0.3674849	0.9336372	2.2448986	0.62302387	1.4647238	3.5570726	0.13763218	0.22663648	0.64164835	0.40063623	0.62302387	1.0704504	1.4436299	0.11116745	2.032156	0.52618414
RORC	0.6781482	0.49579449999999997	0.77407175	0.6323526999999999	0.59464574	0.22663648	0.59464574	2.4515689999999997	1.33921	0.26316009999999995	0.28699607	0.35624728	0.21424463	0.05672351	2.6826303	2.8679327999999997	0.23891501	1.5310872	0.46478304	4.5928044	1.1506448999999999	1.4168863999999999	0.34494959999999997	0.2751237	3.1537902	0.6871335	1.7782153000000003	1.4957263	3.3603556000000006	1.3162155	0.21424463	0.6691063	0.77407175	0.59464574	0.65087	0.23891501	2.5680728	0.45428359999999995	2.0143566	1.3104153	0.45428359999999995	0.7991509	0.99286234	0.21424463	1.6135489	0.5161281	0.6323526999999999	0.3786144	1.1441122	0.42232955	2.8094308	0.5656918000000001	0.9561472	1.3618348	0.73994064	0.9336372	0.124459624	1.049722	0.5656918000000001	0.9561472	0.94119436	2.021513	0.49579449999999997	0.54605496	0.4751773	0.54605496	0.22663648	0.90309465	1.5656528	0.46478304
ITGA2	0.8480885	2.8298626000000002	1.9411447	0.8480885	3.6621989999999998	0.43305513	1.2265648999999998	0.7991509	0.73994064	0.8640384	0.7571259	0.49579449999999997	1.5704931	0.71378523	1.7824702000000001	2.5849729	0.73994064	1.0215281999999999	1.3896316999999998	1.9598305	1.2810018	1.3045712	1.2449315	1.182776	2.1243687	2.4620397	1.1177393	0.40063623	0.9486982	0.43305513	0.6960961999999999	0.7049559	0.40063623	0.5754108	0.8480885	0.72254187	0.89538705	1.2510145000000001	0.46478304	0.77407175	1.0144353000000002	1.2631196000000002	0.887589	1.6690792	1.0704504	0.9486982	1.1506448999999999	0.71378523	1.0144353000000002	0.3786144	1.4957263	0.87191325	1.4542183000000002	0.78250456	2.722501	1.3162155	0.62302387	1.1243893999999999	0.6136315999999999	0.59464574	0.7571259	0.76562524	0.87191325	1.438321	0.7312613	1.4222745	0.62302387	0.9108029000000001	1.0286552	1.2203858
IGHV3-49	1.9449196	0.46478304	0.0	0.22663648	2.1408155	2.9279428	3.3895449999999996	0.0	2.4880432999999997	1.7093155	0.0	0.32205167	1.182776	0.0	0.32205167	4.276463	2.0840685000000003	0.23891501	2.0286055	0.17644595	0.0	0.99286234	0.0	1.6461880000000002	2.2660909	0.59464574	0.8480885	0.41153392	0.15068647	0.83196074	0.49579449999999997	2.8894502999999996	5.555773	8.667648	1.182776	4.161105600000001	0.17644595	2.4905915000000003	2.1505704	0.9709230999999999	0.0	0.0	1.8991928	0.0	3.5509427000000002	3.6194236000000006	1.3841318999999999	2.7026677	2.5509644000000002	2.176366	2.5459888	3.7235608	0.0	0.89538705	1.1699992000000001	0.18916444	0.3786144	0.76562524	3.0215151000000002	3.3659537000000004	4.078069999999999	0.82382965	2.1310024	0.73994064	2.1985368999999997	0.08420307	0.18916444	0.42232955	0.0	0.0
TGFB2	0.3786144	2.003606	2.7462974	0.65087	2.1731734	0.54605496	0.58506453	1.4699608999999998	0.5754108	0.87191325	2.1985368999999997	1.2510145000000001	2.0356338	0.9782476000000001	0.42232955	1.9855485000000002	0.72254187	0.6960961999999999	1.3104153	3.1489089	0.94119436	1.3562181	0.64164835	1.8953143	1.929841	2.6252575	1.5993719	0.16362981	0.6960961999999999	0.6041816	0.42232955	1.2690823999999998	0.7312613	0.5161281	1.6276582	0.87191325	1.0000511	0.9108029000000001	0.6136315999999999	0.6960961999999999	0.9336372	1.2631196000000002	1.5059485000000001	2.58014	0.6600121	0.73994064	0.6691063	1.2449315	0.8560810999999999	0.26316009999999995	2.9030432999999998	1.2265648999999998	0.90309465	0.64164835	2.7398314	3.6836736000000005	0.73994064	1.3104153	0.8156711	0.71378523	0.35624728	0.6781482	0.80744386	1.2570579	0.8480885	0.59464574	0.7485361999999999	1.5110093	1.6915852999999998	1.5160798999999998
LIMS1	4.460788	6.1547737	6.6261660000000004	4.2311664	4.934522	3.112674	4.321172	4.1301575	3.4880459999999998	4.3052163	6.129043599999999	4.6258919999999994	4.2585435	3.2645686	4.465943299999999	4.1448717	4.223404	3.5801506	4.257785	5.241804599999999	5.749543	4.019719	3.7452042000000003	3.8409646	5.2310963	4.5090346	3.5185032	3.288336	4.116017299999999	3.418162	2.9763644	3.8807282	3.5059116	3.4263232000000006	3.752795	5.260403599999999	4.411474	4.569230999999999	3.5422550000000004	3.6028953	3.838918	3.9699470000000003	3.9827774	6.6726985	4.5722966	3.4776647000000005	3.9136610000000003	3.636888	3.8866017	3.0321317000000003	4.2986655	3.5692483999999998	4.106878	3.4396633999999997	4.1714934999999995	3.7844877	3.1537902	3.6803536	3.6747303	4.0686636	4.2156434	3.17476	3.7181077000000005	3.8309202000000004	3.3117886	3.8738312999999995	2.8757908	5.689602	5.304540599999999	5.2168865
MUC15	5.2257430000000005	0.18916444	2.0807064	1.1570913999999999	0.097748086	5.801675	5.074717	0.26316009999999995	3.577768	5.3226733	3.7602034	0.0	0.34494959999999997	1.8560168999999997	4.638656	0.6041816	5.0781136	0.0	6.4901247	0.07052474	0.028709901	7.0509114	5.3652983	2.7026677	7.313589599999999	0.0	0.0	1.1954168	4.105182	7.171732	2.176366	4.681493799999999	6.3017874	3.4409347	0.49579449999999997	1.8679093	0.8156711	7.260432000000001	0.028709901	4.9034824	0.17644595	1.929841	3.6064749	2.7907580000000003	0.0	5.8950276	0.028709901	5.6906805	6.921837299999999	4.684858	4.476351999999999	7.036917999999999	7.5704036	0.28699607	6.993556	0.0	0.0	7.425509	6.400662400000001	3.6276019999999995	0.042784035	5.7139263	0.0	0.13763218	6.2890515	0.05672351	1.4222745	0.08420307	0.05672351	0.014497611
IL24	0.5161281	1.2388668999999999	1.4647238	0.99286234	0.8797943000000001	2.4032838	2.7158847	0.08420307	1.3505546	0.31045547	0.13763218	0.8400183000000001	0.58506453	0.13763218	0.11116745	0.7908371	1.9222491000000002	0.55591464	1.1310111	0.50599486	0.83196074	0.28699607	0.16362981	0.7908371	2.9818661	0.20175661	0.49579449999999997	0.2751237	1.0976788999999998	0.9709230999999999	0.28699607	3.3729997000000003	3.5789592000000003	1.2750628000000002	2.6017451	0.34494959999999997	1.0976788999999998	1.7697916	2.6229951000000002	1.5008324	0.42232955	0.11116745	0.23891501	0.9561472	2.0072117	0.76562524	2.6040845	3.2387896	0.28699607	1.4803389999999998	0.25107563	3.8529690000000003	0.13763218	1.6461880000000002	0.8560810999999999	0.28699607	0.097748086	2.3895907000000003	0.7991509	3.7430756	2.7092732999999996	0.31045547	3.4289541	0.45428359999999995	0.77407175	0.2751237	1.1044103	0.11116745	0.15068647	0.028709901
