	TARGET-30-PAITCI-01	TARGET-30-PAITEG-01	TARGET-30-PAIVHE-01	TARGET-30-PALBFW-01	TARGET-30-PALCBW-01	TARGET-30-PALETP-01	TARGET-30-PALIIN-01	TARGET-30-PALNVP-01	TARGET-30-PALTEG-01	TARGET-30-PALUYS-01	TARGET-30-PALWVJ-01	TARGET-30-PALXTB-01	TARGET-30-PAMYCE-01	TARGET-30-PANBJH-01	TARGET-30-PANBSP-01	TARGET-30-PANKFE-01	TARGET-30-PANNMS-01	TARGET-30-PANRHJ-01	TARGET-30-PANRRW-01	TARGET-30-PANRVJ-01	TARGET-30-PANUIF-01	TARGET-30-PANWRR-01	TARGET-30-PANYGR-01	TARGET-30-PANZPV-01	TARGET-30-PANZVU-01	TARGET-30-PAPBGH-01	TARGET-30-PAPBZI-01	TARGET-30-PAPEAV-01	TARGET-30-PAPHPE-01	TARGET-30-PAPKXS-01	TARGET-30-PAPLSD-01	TARGET-30-PAPUAR-01	TARGET-30-PAPUEB-01	TARGET-30-PAPUWY-01	TARGET-30-PAPVFD-01	TARGET-30-PAPVXS-01	TARGET-30-PARACS-01	TARGET-30-PARBGP-01	TARGET-30-PARDIW-01	TARGET-30-PARFWB-01	TARGET-30-PARGKK-01	TARGET-30-PARHAM-01	TARGET-30-PARHAM-02	TARGET-30-PARKGJ-01	TARGET-30-PARSBI-01	TARGET-30-PARYNK-01	TARGET-30-PARZIP-01	TARGET-30-PASFGG-01	TARGET-30-PASMNT-01	TARGET-30-PASNEF-01	TARGET-30-PASPER-01	TARGET-30-PASRFS-01	TARGET-30-PASSRS-01	TARGET-30-PASTCN-01	TARGET-30-PASTKC-01	TARGET-30-PASUCB-01	TARGET-30-PASUYG-01	TARGET-30-PASWIJ-01	TARGET-30-PASXHE-01	TARGET-30-PASXRJ-01	TARGET-30-PASYPX-01	TARGET-30-PATCFL-01	TARGET-30-PATDXC-01	TARGET-30-PATFCY-01	TARGET-30-PATGLU-01	TARGET-30-PATHVK-01	TARGET-30-PATINJ-01	TARGET-30-PATNKP-02	TARGET-30-PATYIL-01	TARGET-30-PATYIL-02
TGFB2	0.3786144	2.003606	2.7462974	0.65087	2.1731734	0.54605496	0.58506453	1.4699608999999998	0.5754108	0.87191325	2.1985368999999997	1.2510145000000001	2.0356338	0.9782476000000001	0.42232955	1.9855485000000002	0.72254187	0.6960961999999999	1.3104153	3.1489089	0.94119436	1.3562181	0.64164835	1.8953143	1.929841	2.6252575	1.5993719	0.16362981	0.6960961999999999	0.6041816	0.42232955	1.2690823999999998	0.7312613	0.5161281	1.6276582	0.87191325	1.0000511	0.9108029000000001	0.6136315999999999	0.6960961999999999	0.9336372	1.2631196000000002	1.5059485000000001	2.58014	0.6600121	0.73994064	0.6691063	1.2449315	0.8560810999999999	0.26316009999999995	2.9030432999999998	1.2265648999999998	0.90309465	0.64164835	2.7398314	3.6836736000000005	0.73994064	1.3104153	0.8156711	0.71378523	0.35624728	0.6781482	0.80744386	1.2570579	0.8480885	0.59464574	0.7485361999999999	1.5110093	1.6915852999999998	1.5160798999999998
PIWIL2	0.2751237	0.23891501	2.8953352000000003	0.7485361999999999	0.72254187	0.41153392	3.193808	0.08420307	1.996404	0.89538705	1.0072758	0.25107563	0.9184638	4.468617	1.7907819999999999	0.6781482	3.8440347000000004	0.38968015	1.2750628000000002	0.8797943000000001	0.82382965	1.2750628000000002	1.0909218	0.2987822	0.8400183000000001	0.89538705	1.1310111	0.124459624	0.45428359999999995	0.80744386	0.83196074	0.82382965	0.41153392	0.6041816	1.2203858	1.1699992000000001	0.5161281	0.77407175	1.0909218	0.83196074	0.34494959999999997	0.6600121	0.33353373	0.62302387	1.0215281999999999	0.55591464	0.9709230999999999	0.55591464	1.2327062	0.7049559	1.2449315	3.4396633999999997	0.7485361999999999	0.4751773	1.2016847	0.42232955	0.2751237	0.9782476000000001	0.49579449999999997	1.1310111	0.124459624	1.0566703000000002	0.42232955	0.87191325	3.6264071	3.500805	0.5656918000000001	0.20175661	0.6136315999999999	0.28699607
PIWIL1	0.05672351	0.16362981	0.028709901	0.31045547	0.18916444	0.46478304	0.46478304	0.11116745	0.014497611	2.9542139	0.028709901	0.6136315999999999	0.07052474	3.3533165	0.014497611	0.05672351	0.9709230999999999	0.028709901	1.5110093	0.08420307	0.15068647	2.8298626000000002	3.0687146	0.62302387	0.05672351	0.0	0.23891501	0.58506453	0.83196074	3.7928371	0.042784035	1.5993719	0.124459624	1.7740363000000001	2.8439693	0.124459624	1.9855485000000002	3.028621	0.26316009999999995	1.4906301000000002	1.3449053999999998	0.46478304	0.2987822	1.1441122	0.31045547	2.55586	0.042784035	0.38968015	2.5945642	2.8217013	1.5993719	2.0496476	0.18916444	0.028709901	0.097748086	0.41153392	3.7697464999999997	0.014497611	0.77407175	0.38968015	2.5753107	0.48553726	1.8520371	0.07052474	2.5509644000000002	0.33353373	0.05672351	3.5632052000000005	1.9336054	3.370199
EPHA8	0.20175661	0.54605496	1.3277426	3.6690164	0.99286234	0.65087	0.8400183000000001	2.3334424	0.097748086	1.5607548	0.34494959999999997	3.8104758000000003	1.4489502	0.64164835	0.54605496	1.9782271	0.21424463	0.05672351	3.9809036	5.597873	0.7908371	0.17644595	0.83196074	1.9524055	0.6600121	3.211013	0.18916444	0.54605496	3.5020814	0.65087	0.45428359999999995	0.20175661	0.21424463	1.3618348	1.3219714	0.5754108	0.52618414	2.5969849	3.218777	0.6323526999999999	4.996379	1.6229928	3.7474256	0.124459624	1.9449196	1.0144353000000002	0.18916444	0.8797943000000001	2.3757667999999996	0.6871335	1.2079737	0.5161281	0.78250456	0.4751773	0.3674849	0.9336372	2.2448986	0.62302387	1.4647238	3.5570726	0.13763218	0.22663648	0.64164835	0.40063623	0.62302387	1.0704504	1.4436299	0.11116745	2.032156	0.52618414
GPM6A	0.014497611	1.9635481	1.2449315	1.9745712	3.1209915	0.25107563	0.9486982	5.6395087	0.55591464	0.0	0.042784035	3.8884665999999997	0.6691063	0.0	0.0	2.4620397	0.54605496	0.64164835	2.1538265	1.0144353000000002	0.38968015	2.0108203999999996	1.0704504	5.2342114	1.6870991000000002	1.8560168999999997	1.3785836	0.55591464	3.3277178	4.803271	0.21424463	1.7570888	0.89538705	0.4751773	0.8156711	0.05672351	0.26316009999999995	0.6781482	0.62302387	0.45428359999999995	0.35624728	0.59464574	0.7485361999999999	2.7136803	0.33353373	4.6864915	0.33353373	0.78250456	0.58506453	0.59464574	3.3868315000000004	1.5801983	1.049722	0.28699607	1.5460458000000001	2.3334424	5.8609165999999995	1.5607548	0.8797943000000001	1.2810018	0.887589	0.6871335	2.021513	0.71378523	0.3786144	0.40063623	0.6871335	6.901011500000001	0.46478304	0.6323526999999999
NPTX1	0.11116745	1.9782271	0.49579449999999997	0.9486982	0.71378523	0.22663648	0.32205167	0.124459624	0.38968015	1.1699992000000001	0.33353373	0.4751773	0.097748086	0.05672351	0.11116745	0.41153392	0.23891501	0.13763218	3.3590019	0.82382965	0.59464574	0.17644595	0.20175661	3.7322519999999995	2.5728972000000003	4.1333637	0.08420307	0.042784035	2.648508	3.5460038000000003	0.25107563	0.7908371	0.45428359999999995	0.17644595	2.0772705	2.9448977000000003	4.2117643	0.25107563	0.8640384	1.2690823999999998	0.49579449999999997	0.31045547	0.62302387	1.5704931	0.6600121	2.9653702	0.40063623	0.13763218	0.49579449999999997	1.8359431	0.13763218	0.2987822	0.15068647	0.40063623	0.7485361999999999	1.0909218	3.4155335	0.34494959999999997	0.41153392	1.3104153	0.59464574	0.23891501	3.3377168	0.34494959999999997	3.5185032	0.5161281	0.16362981	0.11116745	4.7686706	0.124459624
PLP1	0.028709901	2.72683	3.2539997000000005	0.097748086	9.5080805	1.8440174999999999	0.5656918000000001	0.5161281	1.0773331	1.3162155	0.5656918000000001	0.2751237	3.6668047999999995	0.35624728	1.0000511	8.660167999999999	0.9561472	2.9837008	4.878261599999999	5.499811599999999	0.8480885	2.4409522999999997	0.7571259	5.1683497	1.6690792	0.58506453	2.6392662999999996	0.22663648	1.3162155	0.07052474	0.44372052	2.2110689999999997	0.38968015	1.2631196000000002	0.42232955	0.59464574	0.9108029000000001	0.62302387	0.5161281	0.15068647	0.11116745	1.9030752	1.0841396	0.49579449999999997	0.4751773	0.83196074	0.41153392	1.6645558999999996	0.21424463	0.22663648	0.887589	0.42232955	0.15068647	0.7908371	5.3995576	0.9709230999999999	0.28699607	1.5801983	1.929841	0.5361526	0.28699607	1.0841396	0.6691063	0.887589	1.0144353000000002	0.45428359999999995	2.0108203999999996	0.40063623	0.9561472	3.5969307
COL23A1	0.13763218	0.62302387	1.3729870000000002	1.1954168	1.1310111	0.41153392	1.1375494	0.26316009999999995	0.9260758	0.3674849	0.26316009999999995	0.41153392	0.90309465	0.124459624	0.05672351	1.2449315	0.6960961999999999	0.80744386	0.9336372	1.2079737	2.899232	1.5898027	0.43305513	1.1375494	0.9108029000000001	0.6136315999999999	0.58506453	0.38968015	0.83196074	1.2750628000000002	1.3449053999999998	0.7049559	0.887589	1.33921	0.5754108	0.42232955	0.7571259	1.1177393	2.493141	1.608838	2.577725	0.2987822	0.18916444	0.94119436	1.8639895	0.3786144	0.48553726	1.0072758	0.44372052	0.32205167	0.6781482	0.9709230999999999	2.7655543999999996	0.6960961999999999	0.7312613	2.0704064	0.3674849	1.3896316999999998	0.58506453	2.361813	0.9855609000000001	0.7485361999999999	3.9078730000000004	0.9782476000000001	0.33353373	0.76562524	0.9561472	0.5161281	5.087916000000001	0.71378523
AXL	2.3016197999999997	5.5438333	4.487337999999999	3.3868315000000004	5.6893077000000005	2.7548977999999997	2.8914404	1.8560168999999997	2.2479775	3.1276321	2.7355804	2.9653702	3.9864311000000003	2.3895907000000003	2.1538265	5.504017	1.7949808	3.0000522000000003	3.2599998	4.1954025999999995	3.0374002	1.7824702000000001	2.5360487000000003	3.8708496	3.8846437999999996	3.3618002000000002	2.3561764	1.883629	3.1953225	1.3896316999999998	2.7949514	2.4828672000000003	2.3334424	2.931679	1.8719058999999998	2.8114889	2.1858785	2.9392428	2.358994	2.0566328	2.9164824	2.7485106	2.0531387	3.7844877	2.5509644000000002	2.0840685000000003	1.7311942999999999	2.722501	2.0286055	1.7485055	1.4060217	2.7845142000000003	2.179561	2.358994	4.0951059999999995	1.8115393	1.33921	3.0993264	2.0496476	2.6803508	2.2172682	2.3248699	3.336275	2.5898084999999997	2.2570662	2.1570847	2.3729412999999995	1.3785836	1.5801983	2.5435026
TNNT1	3.8480358	3.807411	0.94119436	0.9486982	0.08420307	0.26316009999999995	2.032156	0.13763218	1.438321	0.6136315999999999	1.1699992000000001	0.35624728	0.07052474	0.0	4.7109146	0.042784035	0.15068647	0.16362981	0.83196074	0.124459624	0.33353373	2.6438859	0.0	0.11116745	0.13763218	4.2023997	0.097748086	0.124459624	0.6960961999999999	7.741053	0.3786144	0.32205167	0.7908371	2.9164824	0.2751237	0.5161281	1.0909218	0.18916444	0.0	0.65087	0.17644595	0.13763218	0.0	2.8519787999999995	1.0704504	0.65087	1.7697916	0.25107563	0.6041816	0.65087	0.3674849	0.34494959999999997	7.250894000000001	4.532946	1.3449053999999998	0.38968015	0.11116745	0.50599486	6.9965324	0.33353373	0.87191325	0.13763218	0.21424463	0.08420307	0.5361526	0.2751237	0.23891501	1.5558652	0.0	0.0
NPM2	0.9184638	2.9467254	5.72197	5.241123	4.017936	5.599048000000001	5.18313	5.4005339999999995	5.047458	4.948164	6.0145693	4.9772989999999995	5.6055126	5.3719339999999995	4.61179	3.1731594	6.0744489999999995	3.308911	5.945579	3.8247845000000003	5.00316	2.9164824	5.2421940000000005	5.3269634	5.6909747	4.2055206	5.290896400000001	5.338081400000001	5.6539154	6.338621	5.398874299999999	4.988242	5.013431	5.1139355	5.815327	5.548139	4.500813	6.0163417	4.871403	5.670188	5.4436064	5.751997	5.3722267	3.3248365	2.021513	6.0483456	5.4492736	4.8464913	5.5065599999999995	4.9514537	4.8821254000000005	4.8971995999999995	5.479963	5.776145	4.9736199999999995	4.5704765	5.041348999999999	4.328393	5.328426400000001	5.5282754999999995	3.853993	4.968586	4.530459	4.121012	5.604924	5.3680305	5.8372345	3.4501991000000003	5.6893077000000005	5.411763
